trial,plan iters,plan time,best cost
0,3000,300,inf
1,2000,7.516906261444092,1.8966111718341427
1,2060,7.8169801235198975,1.8931148735132726
1,2130,8.351391792297363,1.8615957687972626
1,2420,9.816127061843872,1.8555992451412044
1,2680,11.166509628295898,1.8438507716034591
1,2840,12.100147485733032,1.828042161143718
1,3000,300,1.828042161143718
2,3000,300,inf
3,3000,300,inf
4,3000,300,inf
5,3000,300,inf
6,3000,300,inf
7,1860,5.667370557785034,1.7072807670328898
7,1890,5.803563117980957,1.6469579752672538
7,2130,6.913773775100708,1.640836624687286
7,2260,7.516000032424927,1.6356805128844203
7,2460,8.54393196105957,1.6289604799068038
7,2560,9.014653444290161,1.6002043583729846
7,2960,10.938052415847778,1.595919524980161
7,3000,300,1.595919524980161
8,2820,9.65858793258667,1.6332024841304602
8,2860,9.82196831703186,1.6315655100507596
8,2950,10.305175542831421,1.5932671573086004
8,2960,10.342671394348145,1.5832287945750123
8,3000,300,1.5832287945750123
9,3000,300,inf
