trial,plan iters,plan time,best cost
0,2700,3.489361047744751,1.600291444774191
0,2820,3.7372219562530518,1.5797836490591088
0,3330,4.639514446258545,1.565007268616111
0,3430,4.78110933303833,1.5540618059415394
0,3520,4.908956289291382,1.5523328655315947
0,3580,5.018561363220215,1.5514511140067513
0,3700,5.226102828979492,1.548499149329291
0,3970,5.639664173126221,1.5460539846656591
0,3990,5.660243511199951,1.5413938375001943
0,6410,9.118606567382812,1.53905942389037
0,7480,10.58693265914917,1.5378942444109531
0,7560,10.697085618972778,1.5360413505474495
0,7640,10.793164014816284,1.535425696029115
0,8510,11.936572551727295,1.5347522980873665
0,8920,12.471422910690308,1.5299547601922139
0,9000,900,1.5299547601922139
1,1880,1.7386744022369385,1.651560141525594
1,1930,1.8270034790039062,1.6509309882736871
1,1970,1.8587112426757812,1.622919723286655
1,2090,2.0025529861450195,1.6187872778144246
1,2430,2.5605790615081787,1.6024973738839359
1,2620,2.8356597423553467,1.5918217112929598
1,2770,3.104053497314453,1.5811451526404978
1,2890,3.3030595779418945,1.5770730603989243
1,2930,3.3841307163238525,1.5744101426851496
1,2990,3.440117835998535,1.569558867594375
1,3650,4.565113544464111,1.565768378207557
1,3850,4.863611698150635,1.5619173708637528
1,4580,6.04292368888855,1.5589299234631175
1,5100,6.794624328613281,1.5567946910836912
1,5690,7.6850550174713135,1.5544963054678953
1,6210,8.456609725952148,1.551217653369739
1,6900,9.366600513458252,1.5474801748981672
1,7060,9.59007740020752,1.5435107651460442
1,7780,10.614472150802612,1.538167312518105
1,8160,11.14365816116333,1.5338983185433765
1,8250,11.265302181243896,1.5296189668497449
1,8530,11.632459878921509,1.5294165045001737
1,9000,900,1.5294165045001737
2,1960,2.0196778774261475,1.8296363410117071
2,1980,2.052399158477783,1.8224025085059832
2,2320,2.727487802505493,1.6592227915968358
2,2330,2.7415642738342285,1.606582794893156
2,2340,2.7491307258605957,1.602738261284923
2,2360,2.78814435005188,1.585643728989572
2,2760,3.4495372772216797,1.5688643707188734
2,2820,3.561598777770996,1.5683501973454606
2,2900,3.660207509994507,1.5532608539038428
2,4250,5.776387691497803,1.552702355147565
2,5990,8.248436689376831,1.548299571487588
2,6740,9.236721277236938,1.5468987977568647
2,9000,900,1.5468987977568647
3,6860,8.00378680229187,1.592316818670621
3,7390,8.892371654510498,1.5837115265141644
3,7610,9.270211219787598,1.57237390908195
3,8140,10.085913181304932,1.5649007929699263
3,8560,10.713836193084717,1.5583057003018714
3,8590,10.755948305130005,1.5574858300035346
3,9000,900,1.5574858300035346
4,4940,3.900618314743042,1.5728952200243316
4,4980,3.9666292667388916,1.5707425815933709
4,5260,4.462753772735596,1.557368143836398
4,6320,6.044327020645142,1.5514749499444882
4,6330,6.045825481414795,1.5512190675885913
4,6950,6.968763113021851,1.546585918993863
4,7330,7.5991785526275635,1.5428370179579936
4,7780,8.265100240707397,1.5391294349463591
4,8050,8.666517734527588,1.5389373259302779
4,8450,9.2885103225708,1.5380912280515973
4,8770,9.732812881469727,1.5370597048721986
4,9000,900,1.5370597048721986
5,3630,3.24960994720459,1.6204096538978636
5,3640,3.283780336380005,1.6104500260126238
5,3650,3.2987287044525146,1.5909976969490265
5,3660,3.30446720123291,1.58482357791945
5,3920,3.8034324645996094,1.5818510837444792
5,4020,3.9575185775756836,1.565119173767651
5,4220,4.27303147315979,1.5565982300225183
5,4730,5.027225732803345,1.5559584996263454
