trial,plan iters,plan time,best cost
0,5580,1.5565671920776367,2.0369505377667014
0,5590,1.5584053993225098,2.029988760558794
0,5710,1.6085319519042969,2.029359113630614
0,5890,1.6794712543487549,2.0285513989975916
0,5960,1.7065253257751465,2.026319116901178
0,6020,1.7295715808868408,2.013438816583986
0,6460,1.9061031341552734,2.0113181332601884
0,7370,2.3021440505981445,2.0106946100749514
0,8540,2.823157787322998,2.009631194142676
0,9000,900,2.009631194142676
1,5360,1.5532469749450684,2.1846567699632558
1,5390,1.5650196075439453,2.181214578140964
1,5440,1.5919044017791748,2.171636801028317
1,5870,1.825092077255249,2.1703365289483885
1,5880,1.8301124572753906,2.1631382719062042
1,6340,2.0352556705474854,2.1569567519335116
1,6560,2.1368179321289062,2.0491984180588156
1,6630,2.1711745262145996,2.017049662602322
1,7220,2.445059061050415,2.008386713787834
1,8000,2.8112964630126953,1.9490066534632775
1,8070,2.848740577697754,1.94734835940139
1,8940,3.2729249000549316,1.9421073912250704
1,9000,900,1.9421073912250704
2,9000,900,inf
3,2900,0.8404057025909424,2.3786088135737584
3,2910,0.8434655666351318,2.360937077201193
3,2950,0.8627254962921143,2.3573180121025405
3,2960,0.8635785579681396,2.335680491295769
3,3060,0.9073846340179443,2.3159098183342555
3,3090,0.9189786911010742,2.289558251221999
3,3190,0.9665176868438721,2.273682182855043
3,5940,2.2082643508911133,1.915556697776332
3,5970,2.2246100902557373,1.9098507901373498
3,6050,2.2643682956695557,1.8995113297463149
3,6130,2.3073015213012695,1.871277021990086
3,6890,2.6693594455718994,1.854437205957332
3,8070,3.238206148147583,1.850410016626975
3,9000,900,1.850410016626975
4,890,0.23583722114562988,2.2623768779238262
4,930,0.24993562698364258,2.2399499053243748
4,940,0.2521650791168213,2.2273729038439027
4,1060,0.29778099060058594,2.2220169379477
4,1440,0.4492964744567871,2.2187889853343044
4,2350,0.8286621570587158,2.1634042364188586
4,2600,0.9499363899230957,2.163335220132139
4,3320,1.2623732089996338,2.1136404666883815
4,3330,1.2643299102783203,2.080856344323907
4,3360,1.2789640426635742,2.075265748156841
4,3390,1.2949719429016113,2.0657393843312377
4,3400,1.2966322898864746,2.051298953007269
4,4360,1.7378485202789307,2.0475678307696445
4,7600,3.288844347000122,2.0471366100796597
4,9000,900,2.0471366100796597
5,7020,1.87355375289917,1.8127811920010537
5,7060,1.8874027729034424,1.8116700791029448
5,7150,1.9217689037322998,1.8050813557198933
5,7160,1.925614356994629,1.7970203035123435
5,8750,2.5882656574249268,1.7649602035649494
5,8840,2.634178400039673,1.7564274095032693
5,9000,900,1.7564274095032693
6,3670,1.0749483108520508,2.249302817598933
6,3690,1.0811212062835693,2.2119061797960784
6,3730,1.0972216129302979,2.2092560135799704
6,3750,1.108194351196289,2.2068215127583146
6,3790,1.1241028308868408,2.201418082251675
6,3930,1.1887626647949219,2.1975400124853035
6,3970,1.2023687362670898,2.1941313787943453
6,4080,1.2520060539245605,2.1761116316562306
6,4760,1.5682320594787598,2.173100121915134
6,4770,1.572087049484253,2.1710253113466926
6,5000,1.6830782890319824,2.127255514262082
6,5110,1.7360584735870361,2.126736675703049
6,5410,1.8788461685180664,2.1190929862974053
6,5870,2.1017558574676514,2.114235691116053
6,6010,2.1690895557403564,2.093280432912192
6,9000,900,2.093280432912192
7,9000,900,inf
8,3290,0.8131120204925537,1.800261531719827
8,3340,0.8352651596069336,1.7856723554281366
8,3350,0.8357360363006592,1.780488996625331
8,3360,0.8376858234405518,1.772040150598954
8,3680,0.9632260799407959,1.764713551335628
8,3960,1.0861594676971436,1.7358534167966884
8,5460,1.745051622390747,1.7324762735886616
8,7000,2.449561595916748,1.707629806448859
8,7470,2.6632566452026367,1.7044854762949884
8,9000,900,1.7044854762949884
9,2830,0.8558268547058105,2.5994163312066147
9,2870,0.874079704284668,2.5994157864585525
9,2920,0.8984501361846924,2.5871170288231813
9,3060,0.9608280658721924,2.5800214339788807
9,3210,1.0327918529510498,2.573096056369238
9,3240,1.0446991920471191,2.5706770244834587
9,3300,1.0748968124389648,2.5273169148510144
9,3450,1.1449754238128662,2.5260316703822374
9,3710,1.2614142894744873,2.0862936906423752
9,3740,1.271155834197998,2.0812375307003577
9,3760,1.2797942161560059,2.0667676611179395
9,4930,1.8225691318511963,2.060940826971984
9,5690,2.1798384189605713,2.057262278300086
9,7960,3.2646992206573486,2.0550621862295446
9,8210,3.392561674118042,2.0549887306763255
9,8530,3.54561185836792,2.053550837018455
9,9000,900,2.053550837018455
